reporting country	age	employment status	sex	time	WORK02: Employment and unemployment
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Total	2019	288800.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Total	2020	293000.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Total	2021	293400.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Men	2013	161300.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Men	2014	160700.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Men	2015	161300.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Men	2016	162600.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Men	2017	156300.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Men	2018	155800.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Men	2019	150100.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Men	2020	150400.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Men	2021	148500.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Women	2013	147400.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Women	2014	149400.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Women	2015	149900.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Women	2016	142900.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Women	2017	142300.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Women	2018	144100.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Women	2019	138700.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Women	2020	142500.0
Denmark	Total (15-24 years)	Not in the labour force, number of persons	Women	2021	144800.0
Denmark	Total (15-24 years)	Labour force, number of persons	Total	2013	412600.0
Denmark	Total (15-24 years)	Labour force, number of persons	Total	2014	417400.0
Denmark	Total (15-24 years)	Labour force, number of persons	Total	2015	422700.0
Denmark	Total (15-24 years)	Labour force, number of persons	Total	2016	433600.0
Denmark	Total (15-24 years)	Labour force, number of persons	Total	2017	440600.0
Denmark	Total (15-24 years)	Labour force, number of persons	Total	2018	435500.0
Denmark	Total (15-24 years)	Labour force, number of persons	Total	2019	440500.0
Denmark	Total (15-24 years)	Labour force, number of persons	Total	2020	428300.0
Denmark	Total (15-24 years)	Labour force, number of persons	Total	2021	424900.0
Denmark	Total (15-24 years)	Labour force, number of persons	Men	2013	207400.0
Denmark	Total (15-24 years)	Labour force, number of persons	Men	2014	211300.0
Denmark	Total (15-24 years)	Labour force, number of persons	Men	2015	214100.0
Denmark	Total (15-24 years)	Labour force, number of persons	Men	2016	215700.0
Denmark	Total (15-24 years)	Labour force, number of persons	Men	2017	221900.0
Denmark	Total (15-24 years)	Labour force, number of persons	Men	2018	220300.0
Denmark	Total (15-24 years)	Labour force, number of persons	Men	2019	222700.0
Denmark	Total (15-24 years)	Labour force, number of persons	Men	2020	218100.0
Denmark	Total (15-24 years)	Labour force, number of persons	Men	2021	218400.0
Denmark	Total (15-24 years)	Labour force, number of persons	Women	2013	205300.0
Denmark	Total (15-24 years)	Labour force, number of persons	Women	2014	206100.0
Denmark	Total (15-24 years)	Labour force, number of persons	Women	2015	208500.0
Denmark	Total (15-24 years)	Labour force, number of persons	Women	2016	217900.0
Denmark	Total (15-24 years)	Labour force, number of persons	Women	2017	218600.0
Denmark	Total (15-24 years)	Labour force, number of persons	Women	2018	215300.0
Denmark	Total (15-24 years)	Labour force, number of persons	Women	2019	217800.0
Denmark	Total (15-24 years)	Labour force, number of persons	Women	2020	210200.0
Denmark	Total (15-24 years)	Labour force, number of persons	Women	2021	206600.0
Denmark	Total (15-24 years)	Unemployment rate, %	Total	2013	14.8
Denmark	Total (15-24 years)	Unemployment rate, %	Total	2014	14.2
Denmark	Total (15-24 years)	Unemployment rate, %	Total	2015	12.2
Denmark	Total (15-24 years)	Unemployment rate, %	Total	2016	12.2
Denmark	Total (15-24 years)	Unemployment rate, %	Total	2017	12.4
Denmark	Total (15-24 years)	Unemployment rate, %	Total	2018	10.5
Denmark	Total (15-24 years)	Unemployment rate, %	Total	2019	10.1
Denmark	Total (15-24 years)	Unemployment rate, %	Total	2020	11.6
Denmark	Total (15-24 years)	Unemployment rate, %	Total	2021	10.8
Denmark	Total (15-24 years)	Unemployment rate, %	Men	2013	16.2
Denmark	Total (15-24 years)	Unemployment rate, %	Men	2014	15.6
Denmark	Total (15-24 years)	Unemployment rate, %	Men	2015	13.2
Denmark	Total (15-24 years)	Unemployment rate, %	Men	2016	13.5
Denmark	Total (15-24 years)	Unemployment rate, %	Men	2017	12.9
Denmark	Total (15-24 years)	Unemployment rate, %	Men	2018	11.8
Denmark	Total (15-24 years)	Unemployment rate, %	Men	2019	10.4
Denmark	Total (15-24 years)	Unemployment rate, %	Men	2020	12.6
Denmark	Total (15-24 years)	Unemployment rate, %	Men	2021	10.7
Denmark	Total (15-24 years)	Unemployment rate, %	Women	2013	13.3
Denmark	Total (15-24 years)	Unemployment rate, %	Women	2014	12.9
Denmark	Total (15-24 years)	Unemployment rate, %	Women	2015	11.1
Denmark	Total (15-24 years)	Unemployment rate, %	Women	2016	10.8
Denmark	Total (15-24 years)	Unemployment rate, %	Women	2017	11.9
Denmark	Total (15-24 years)	Unemployment rate, %	Women	2018	9.2
Denmark	Total (15-24 years)	Unemployment rate, %	Women	2019	9.7
Denmark	Total (15-24 years)	Unemployment rate, %	Women	2020	10.6
Denmark	Total (15-24 years)	Unemployment rate, %	Women	2021	11.0
Denmark	Total (15-24 years)	Employment rate, %	Total	2013	48.7
Denmark	Total (15-24 years)	Employment rate, %	Total	2014	49.2
Denmark	Total (15-24 years)	Employment rate, %	Total	2015	50.6
Denmark	Total (15-24 years)	Employment rate, %	Total	2016	51.5
Denmark	Total (15-24 years)	Employment rate, %	Total	2017	52.2
Denmark	Total (15-24 years)	Employment rate, %	Total	2018	53.0
Denmark	Total (15-24 years)	Employment rate, %	Total	2019	54.3
Denmark	Total (15-24 years)	Employment rate, %	Total	2020	52.5
Denmark	Total (15-24 years)	Employment rate, %	Total	2021	52.7
Denmark	Total (15-24 years)	Employment rate, %	Men	2013	47.1
Denmark	Total (15-24 years)	Employment rate, %	Men	2014	48.0
Denmark	Total (15-24 years)	Employment rate, %	Men	2015	49.5
Denmark	Total (15-24 years)	Employment rate, %	Men	2016	49.3
Denmark	Total (15-24 years)	Employment rate, %	Men	2017	51.1
Denmark	Total (15-24 years)	Employment rate, %	Men	2018	51.7
Denmark	Total (15-24 years)	Employment rate, %	Men	2019	53.5
Denmark	Total (15-24 years)	Employment rate, %	Men	2020	51.8
Denmark	Total (15-24 years)	Employment rate, %	Men	2021	53.1
Denmark	Total (15-24 years)	Employment rate, %	Women	2013	50.4
Denmark	Total (15-24 years)	Employment rate, %	Women	2014	50.5
Denmark	Total (15-24 years)	Employment rate, %	Women	2015	51.7
Denmark	Total (15-24 years)	Employment rate, %	Women	2016	53.9
Denmark	Total (15-24 years)	Employment rate, %	Women	2017	53.4
Denmark	Total (15-24 years)	Employment rate, %	Women	2018	54.4
Denmark	Total (15-24 years)	Employment rate, %	Women	2019	55.1
Denmark	Total (15-24 years)	Employment rate, %	Women	2020	53.3
Denmark	Total (15-24 years)	Employment rate, %	Women	2021	52.3
Denmark	Total (15-64 years)	Total number of persons in age group	Total	2013	3628500.0
Denmark	Total (15-64 years)	Total number of persons in age group	Total	2014	3638900.0
Denmark	Total (15-64 years)	Total number of persons in age group	Total	2015	3659200.0
Denmark	Total (15-64 years)	Total number of persons in age group	Total	2016	3682300.0
Denmark	Total (15-64 years)	Total number of persons in age group	Total	2017	3698300.0
Denmark	Total (15-64 years)	Total number of persons in age group	Total	2018	3708600.0
Denmark	Total (15-64 years)	Total number of persons in age group	Total	2019	3713100.0
Denmark	Total (15-64 years)	Total number of persons in age group	Total	2020	3714300.0
Denmark	Total (15-64 years)	Total number of persons in age group	Total	2021	3723700.0
Denmark	Total (15-64 years)	Total number of persons in age group	Men	2013	1828100.0
Denmark	Total (15-64 years)	Total number of persons in age group	Men	2014	1834400.0
Denmark	Total (15-64 years)	Total number of persons in age group	Men	2015	1846800.0
Denmark	Total (15-64 years)	Total number of persons in age group	Men	2016	1860000.0
Denmark	Total (15-64 years)	Total number of persons in age group	Men	2017	1868300.0
Denmark	Total (15-64 years)	Total number of persons in age group	Men	2018	1873400.0
Denmark	Total (15-64 years)	Total number of persons in age group	Men	2019	1875500.0
Denmark	Total (15-64 years)	Total number of persons in age group	Men	2020	1875500.0
Denmark	Total (15-64 years)	Total number of persons in age group	Men	2021	1880800.0
Denmark	Total (15-64 years)	Total number of persons in age group	Women	2013	1800500.0
Denmark	Total (15-64 years)	Total number of persons in age group	Women	2014	1804500.0
Denmark	Total (15-64 years)	Total number of persons in age group	Women	2015	1812400.0
Denmark	Total (15-64 years)	Total number of persons in age group	Women	2016	1822300.0
Denmark	Total (15-64 years)	Total number of persons in age group	Women	2017	1830000.0
Denmark	Total (15-64 years)	Total number of persons in age group	Women	2018	1835100.0
Denmark	Total (15-64 years)	Total number of persons in age group	Women	2019	1837600.0
Denmark	Total (15-64 years)	Total number of persons in age group	Women	2020	1838800.0
Denmark	Total (15-64 years)	Total number of persons in age group	Women	2021	1842900.0
Denmark	Total (15-64 years)	Employed, number of persons	Total	2013	2557500.0
Denmark	Total (15-64 years)	Employed, number of persons	Total	2014	2578700.0
Denmark	Total (15-64 years)	Employed, number of persons	Total	2015	2622600.0
Denmark	Total (15-64 years)	Employed, number of persons	Total	2016	2667500.0
Denmark	Total (15-64 years)	Employed, number of persons	Total	2017	2698100.0
Denmark	Total (15-64 years)	Employed, number of persons	Total	2018	2739300.0
Denmark	Total (15-64 years)	Employed, number of persons	Total	2019	2779100.0
Denmark	Total (15-64 years)	Employed, number of persons	Total	2020	2752800.0
Denmark	Total (15-64 years)	Employed, number of persons	Total	2021	2786900.0
Denmark	Total (15-64 years)	Employed, number of persons	Men	2013	1332600.0
Denmark	Total (15-64 years)	Employed, number of persons	Men	2014	1354400.0
Denmark	Total (15-64 years)	Employed, number of persons	Men	2015	1382100.0
Denmark	Total (15-64 years)	Employed, number of persons	Men	2016	1399700.0
Denmark	Total (15-64 years)	Employed, number of persons	Men	2017	1413700.0
Denmark	Total (15-64 years)	Employed, number of persons	Men	2018	1436300.0
Denmark	Total (15-64 years)	Employed, number of persons	Men	2019	1458700.0
Denmark	Total (15-64 years)	Employed, number of persons	Men	2020	1444400.0
Denmark	Total (15-64 years)	Employed, number of persons	Men	2021	1458200.0
Denmark	Total (15-64 years)	Employed, number of persons	Women	2013	1224900.0
Denmark	Total (15-64 years)	Employed, number of persons	Women	2014	1224300.0
Denmark	Total (15-64 years)	Employed, number of persons	Women	2015	1240500.0
Denmark	Total (15-64 years)	Employed, number of persons	Women	2016	1267800.0
Denmark	Total (15-64 years)	Employed, number of persons	Women	2017	1284400.0
Denmark	Total (15-64 years)	Employed, number of persons	Women	2018	1303100.0
Denmark	Total (15-64 years)	Employed, number of persons	Women	2019	1320400.0
Denmark	Total (15-64 years)	Employed, number of persons	Women	2020	1308400.0
Denmark	Total (15-64 years)	Employed, number of persons	Women	2021	1328600.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Total	2013	209900.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Total	2014	197900.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Total	2015	180900.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Total	2016	174900.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Total	2017	171900.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Total	2018	152200.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Total	2019	150400.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Total	2020	168500.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Total	2021	150800.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Men	2013	106000.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Men	2014	101600.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Men	2015	92500.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Men	2016	86700.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Men	2017	87400.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Men	2018	77500.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Men	2019	75800.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Men	2020	84000.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Men	2021	77700.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Women	2013	103900.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Women	2014	96300.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Women	2015	88300.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Women	2016	88200.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Women	2017	84500.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Women	2018	74700.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Women	2019	74600.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Women	2020	84500.0
Denmark	Total (15-64 years)	Unemployed, number of persons	Women	2021	73100.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Total	2013	861100.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Total	2014	862300.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Total	2015	855700.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Total	2016	839900.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Total	2017	828300.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Total	2018	817100.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Total	2019	783600.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Total	2020	793000.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Total	2021	786000.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Men	2013	389500.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Men	2014	378400.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Men	2015	372200.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Men	2016	373600.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Men	2017	367200.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Men	2018	359600.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Men	2019	341000.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Men	2020	347100.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Men	2021	344900.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Women	2013	471700.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Women	2014	483900.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Women	2015	483600.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Women	2016	466300.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Women	2017	461100.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Women	2018	457300.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Women	2019	442600.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Women	2020	445900.0
Denmark	Total (15-64 years)	Not in the labour force, number of persons	Women	2021	441200.0
Denmark	Total (15-64 years)	Labour force, number of persons	Total	2013	2767400.0
Denmark	Total (15-64 years)	Labour force, number of persons	Total	2014	2776600.0
Denmark	Total (15-64 years)	Labour force, number of persons	Total	2015	2803500.0
Denmark	Total (15-64 years)	Labour force, number of persons	Total	2016	2842400.0
Denmark	Total (15-64 years)	Labour force, number of persons	Total	2017	2870000.0
Denmark	Total (15-64 years)	Labour force, number of persons	Total	2018	2891500.0
Denmark	Total (15-64 years)	Labour force, number of persons	Total	2019	2929500.0
Denmark	Total (15-64 years)	Labour force, number of persons	Total	2020	2921300.0
Denmark	Total (15-64 years)	Labour force, number of persons	Total	2021	2937700.0
Denmark	Total (15-64 years)	Labour force, number of persons	Men	2013	1438600.0
Denmark	Total (15-64 years)	Labour force, number of persons	Men	2014	1456000.0
Denmark	Total (15-64 years)	Labour force, number of persons	Men	2015	1474600.0
Denmark	Total (15-64 years)	Labour force, number of persons	Men	2016	1486400.0
Denmark	Total (15-64 years)	Labour force, number of persons	Men	2017	1501100.0
Denmark	Total (15-64 years)	Labour force, number of persons	Men	2018	1513800.0
Denmark	Total (15-64 years)	Labour force, number of persons	Men	2019	1534500.0
Denmark	Total (15-64 years)	Labour force, number of persons	Men	2020	1528400.0
Denmark	Total (15-64 years)	Labour force, number of persons	Men	2021	1535900.0
Denmark	Total (15-64 years)	Labour force, number of persons	Women	2013	1328800.0
Denmark	Total (15-64 years)	Labour force, number of persons	Women	2014	1320600.0
Denmark	Total (15-64 years)	Labour force, number of persons	Women	2015	1328800.0
Denmark	Total (15-64 years)	Labour force, number of persons	Women	2016	1356000.0
Denmark	Total (15-64 years)	Labour force, number of persons	Women	2017	1368900.0
Denmark	Total (15-64 years)	Labour force, number of persons	Women	2018	1377800.0
Denmark	Total (15-64 years)	Labour force, number of persons	Women	2019	1395000.0
Denmark	Total (15-64 years)	Labour force, number of persons	Women	2020	1392900.0
Denmark	Total (15-64 years)	Labour force, number of persons	Women	2021	1401700.0
Denmark	Total (15-64 years)	Unemployment rate, %	Total	2013	7.6
Denmark	Total (15-64 years)	Unemployment rate, %	Total	2014	7.1
Denmark	Total (15-64 years)	Unemployment rate, %	Total	2015	6.5
Denmark	Total (15-64 years)	Unemployment rate, %	Total	2016	6.2
Denmark	Total (15-64 years)	Unemployment rate, %	Total	2017	6.0
Denmark	Total (15-64 years)	Unemployment rate, %	Total	2018	5.3
Denmark	Total (15-64 years)	Unemployment rate, %	Total	2019	5.1
Denmark	Total (15-64 years)	Unemployment rate, %	Total	2020	5.8
Denmark	Total (15-64 years)	Unemployment rate, %	Total	2021	5.1
Denmark	Total (15-64 years)	Unemployment rate, %	Men	2013	7.4
Denmark	Total (15-64 years)	Unemployment rate, %	Men	2014	7.0
Denmark	Total (15-64 years)	Unemployment rate, %	Men	2015	6.3
Denmark	Total (15-64 years)	Unemployment rate, %	Men	2016	5.8
Denmark	Total (15-64 years)	Unemployment rate, %	Men	2017	5.8
Denmark	Total (15-64 years)	Unemployment rate, %	Men	2018	5.1
Denmark	Total (15-64 years)	Unemployment rate, %	Men	2019	4.9
Denmark	Total (15-64 years)	Unemployment rate, %	Men	2020	5.5
Denmark	Total (15-64 years)	Unemployment rate, %	Men	2021	5.1
Denmark	Total (15-64 years)	Unemployment rate, %	Women	2013	7.8
Denmark	Total (15-64 years)	Unemployment rate, %	Women	2014	7.3
Denmark	Total (15-64 years)	Unemployment rate, %	Women	2015	6.6
Denmark	Total (15-64 years)	Unemployment rate, %	Women	2016	6.5
Denmark	Total (15-64 years)	Unemployment rate, %	Women	2017	6.2
Denmark	Total (15-64 years)	Unemployment rate, %	Women	2018	5.4
Denmark	Total (15-64 years)	Unemployment rate, %	Women	2019	5.3
Denmark	Total (15-64 years)	Unemployment rate, %	Women	2020	6.1
Denmark	Total (15-64 years)	Unemployment rate, %	Women	2021	5.2
Denmark	Total (15-64 years)	Employment rate, %	Total	2013	70.5
Denmark	Total (15-64 years)	Employment rate, %	Total	2014	70.9
Denmark	Total (15-64 years)	Employment rate, %	Total	2015	71.7
Denmark	Total (15-64 years)	Employment rate, %	Total	2016	72.4
Denmark	Total (15-64 years)	Employment rate, %	Total	2017	73.0
Denmark	Total (15-64 years)	Employment rate, %	Total	2018	73.9
Denmark	Total (15-64 years)	Employment rate, %	Total	2019	74.8
Denmark	Total (15-64 years)	Employment rate, %	Total	2020	74.1
Denmark	Total (15-64 years)	Employment rate, %	Total	2021	74.8
Denmark	Total (15-64 years)	Employment rate, %	Men	2013	72.9
Denmark	Total (15-64 years)	Employment rate, %	Men	2014	73.8
Denmark	Total (15-64 years)	Employment rate, %	Men	2015	74.8
Denmark	Total (15-64 years)	Employment rate, %	Men	2016	75.3
Denmark	Total (15-64 years)	Employment rate, %	Men	2017	75.7
Denmark	Total (15-64 years)	Employment rate, %	Men	2018	76.7
Denmark	Total (15-64 years)	Employment rate, %	Men	2019	77.8
Denmark	Total (15-64 years)	Employment rate, %	Men	2020	77.0
Denmark	Total (15-64 years)	Employment rate, %	Men	2021	77.5
Denmark	Total (15-64 years)	Employment rate, %	Women	2013	68.0
Denmark	Total (15-64 years)	Employment rate, %	Women	2014	67.8
Denmark	Total (15-64 years)	Employment rate, %	Women	2015	68.4
Denmark	Total (15-64 years)	Employment rate, %	Women	2016	69.6
Denmark	Total (15-64 years)	Employment rate, %	Women	2017	70.2
Denmark	Total (15-64 years)	Employment rate, %	Women	2018	71.0
Denmark	Total (15-64 years)	Employment rate, %	Women	2019	71.9
Denmark	Total (15-64 years)	Employment rate, %	Women	2020	71.2
Denmark	Total (15-64 years)	Employment rate, %	Women	2021	72.1
Denmark	15-19 years	Total number of persons in age group	Total	2013	357500.0
Denmark	15-19 years	Total number of persons in age group	Total	2014	354800.0
Denmark	15-19 years	Total number of persons in age group	Total	2015	351900.0
Denmark	15-19 years	Total number of persons in age group	Total	2016	350200.0
Denmark	15-19 years	Total number of persons in age group	Total	2017	347700.0
Denmark	15-19 years	Total number of persons in age group	Total	2018	345200.0
Denmark	15-19 years	Total number of persons in age group	Total	2019	343800.0
Denmark	15-19 years	Total number of persons in age group	Total	2020	342400.0
Denmark	15-19 years	Total number of persons in age group	Total	2021	342600.0
